,pl_name,hostname,pl_bmasse,pl_orbper,pl_orbsmax,st_mass
946,HD 190360 b,HD 190360,477.361,2891,3.92,0.96
947,HD 190360 b,HD 190360,474.19998324,2892.2,3.955,0.986343
948,HD 152079 b,HD 152079,692.8694,2899,3.98,1.1
949,HD 190360 b,HD 190360,495.79,2915,4.01,0.98
950,HD 190360 b,HD 190360,489.4582,2915.03687,3.97,0.99
951,HD 152079 b,HD 152079,845.74563,2918.92,4.187,1.147
952,HD 160691 c,HD 160691,985.23,2986,4.17,1.08
953,HD 125612 d,HD 125612,2286,3008,4.2,1.091
954,HD 183263 c,HD 183263,1134.61,3070,4.35,1.06
955,HD 187123 c,HD 187123,577.791,3324,4.417,1.04
956,HD 154345 b,HD 154345,378.21580433,3340,4.2,0.88
957,HD 154345 b,HD 154345,260.6206,3341.55884,4.21,0.71
958,HD 154345 b,HD 154345,300.972,3342,4.19,0.88
959,HD 187123 c,HD 187123,544.44006119,3374,4.432,1.020234
960,GJ 832 b,GJ 832,203.4,3416,3.4,0.45
961,HD 154345 b,HD 154345,287.63470834,3420,4.272,0.886394
962,GJ 832 b,GJ 832,197.046,3507,3.46,0.437474
963,HD 154345 b,HD 154345,317.8,3538,4.3,0.95
964,GJ 832 b,GJ 832,254.2627256,3610,3.53,0.45
965,GJ 832 b,GJ 832,216,3657,3.56,0.45
966,HD 187123 c,HD 187123,632.46,3810,4.89,1.04
967,GJ 832 b,GJ 832,314.65012293,3853,3.7,0.45
968,HD 190360 b,HD 190360,422.7,3902,4.8,0.96
969,HAT-P-17 c,HAT-P-17,915.3504,3972,4.67,0.857
970,HD 160691 c,HD 160691,576.519,4205.8,5.235,1.08
971,HD 13931 b,HD 13931,699.226,4218,5.15,1.3
972,HD 13931 b,HD 13931,597,4218,5.15,1.022
973,HD 13931 b,HD 13931,889.9195396,4449,5.338,1.022
974,HD 13931 b,HD 13931,607.37008578,4449,5.323,1.015973
975,HD 160691 c,HD 160691,770.07,4472.967,5.543,1.03
976,55 Cnc d,55 Cnc,1243.35096,4517.4,5.257,0.95
